control	mutant	uniprot	symbol	logfc	pvalue	fdr	qvalue	score
fad	fx	Q9Z1W9	Stk39	-0.06366100386387369	0.34628261687954126	0.6464252888451194	0.36021054309848893	-0.4605693091515995
fad	fx	P21126	Ubl4a	0.059817835791375555	0.3473569632761794	0.6471590295597506	0.3606194088187379	0.45922399063701586
fad	fx	P31650	Slc6a11	-0.0717735723484687	0.3476088514938819	0.6471590295597506	0.3606194088187379	-0.4589091732302601
fad	fx	O88455	Dhcr7	-0.05331972557853798	0.34849989435098855	0.6479481949930578	0.36105915911042896	-0.45779734922390475
fad	fx	O08749	Dld	0.05677689398214981	0.3491374190443163	0.6482645250528336	0.3612354291676134	0.45700360287993846
fad	fx	Q8JZN5	Acad9	0.04278627256658664	0.34973715203180117	0.6485099329787543	0.3613721789572674	0.45625823081520883
fad	fx	Q9D8B7	Jam3	0.060939249998839526	0.3510824912663716	0.6499847970373506	0.3621940242543357	0.4545908285694078
fad	fx	P35505	Fah	0.07368620090426681	0.351776749702773	0.6499847970373506	0.3621940242543357	0.4537328681459587
fad	fx	P28663	Napb	-0.043397545796246995	0.3519384156993874	0.6499847970373506	0.3621940242543357	-0.4535333253339573
fad	fx	Q9JJK2	Lancl2	0.0686400684679649	0.3525700862914014	0.6502855181996992	0.3623615964936649	0.45275453806530175
fad	fx	P62918	Rpl8	-0.04250130285797998	0.3533166219480922	0.6504072965632145	0.36242945561244705	-0.45183593049460297
fad	fx	Q9EPW0	Inpp4a	-0.052288403382869414	0.3541587339709388	0.6504072965632145	0.36242945561244705	-0.45080204352078845
fad	fx	Q9CTY5	Micu3	-0.05048093120774783	0.3541887146383558	0.6504072965632145	0.36242945561244705	-0.45076528066251514
fad	fx	O55143	Atp2a2	-0.044859216344089445	0.35451183576192513	0.6504072965632145	0.36242945561244705	-0.45036926084681994
fad	fx	P18872	Gnao1	-0.04910992748031553	0.35629937489375707	0.6528232932333435	0.3637757325723508	-0.448184939592375
fad	fx	P63011	Rab3a	-0.04325474706187578	0.3584340477466279	0.6530661422030464	0.36391105642303717	-0.44559074330075815
fad	fx	Q99LI8	Hgs	0.046157893773564204	0.3585025827570817	0.6530661422030464	0.36391105642303717	0.4455077112009001
fad	fx	P48453	Ppp3cb	-0.05275050502914866	0.35852131821038846	0.6530661422030464	0.36391105642303717	-0.44548501543307994
fad	fx	P60335	Pcbp1	0.04377100684215067	0.35855730500679184	0.6530661422030464	0.36391105642303717	0.44544142504673606
fad	fx	O54991	Cntnap1	-0.06168271111709256	0.3587861574323874	0.6530661422030464	0.36391105642303717	-0.44516432110927134
fad	fx	P97427	Crmp1	0.043113927480370046	0.35947390249015376	0.6534604230063477	0.36413076333231387	0.4443326335590607
fad	fx	Q91V41	Rab14	-0.04514606586677655	0.36013181559026264	0.6537995133817988	0.3643197162251051	-0.4435385094953344
fad	fx	O55013	Trappc3	0.04651676475581166	0.36118503792229445	0.6540473286973529	0.3644578074955804	0.44227024861980563
fad	fx	O08576	Rundc3a	-0.06377986337276073	0.3613143348586937	0.6540473286973529	0.3644578074955804	-0.4421148078022213
fad	fx	P10630	Eif4a2	0.049593114383288964	0.3617710689589569	0.6540473286973529	0.3644578074955804	0.4415661668677644
fad	fx	O88935	Syn1	0.0442796079131691	0.3621545410523195	0.6540473286973529	0.3644578074955804	0.44110606481477743
fad	fx	Q9WTX6	Cul1	-0.05084359802543863	0.3631809345911654	0.6550480575786038	0.365015448262472	-0.43987695811125044
fad	fx	Q9JI46	Nudt3	0.06172370843245584	0.36492283997044117	0.6573350377129895	0.366289832743522	0.4377989539477475
fad	fx	P57716	Ncstn	0.052708473881087126	0.36565014649726735	0.6577908601708299	0.366543832792605	0.4369342482401656
fad	fx	Q3UVX5	Grm5	-0.04685463115796687	0.3662957224210732	0.6580986619145447	0.36671535057692356	-0.43616815297010153
fad	fx	P05201	Got1	0.046634578306828746	0.3677996031178473	0.6587166514757092	0.36705971574842544	0.4343887437325848
fad	fx	P70333	Hnrnph2	-0.05086076264143749	0.3681293668032864	0.6587166514757092	0.36705971574842544	-0.43399953617490766
fad	fx	Q91VC3	Eif4a3	0.04886081731503111	0.36826894822996353	0.6587166514757092	0.36705971574842544	0.43383489852468354
fad	fx	Q69ZK9	Nlgn2	-0.04566150718951534	0.3688278974099649	0.6587166514757092	0.36705971574842544	-0.43317623720357046
fad	fx	Q6A4J8	Usp7	-0.0422993759659736	0.36920695935109354	0.6587166514757092	0.36705971574842544	-0.432730121353352
fad	fx	Q921M3	Sf3b3	0.049708944543326056	0.36948922483641083	0.6587166514757092	0.36705971574842544	0.43239822211982293
fad	fx	Q91VR5	Ddx1	-0.052028367771278096	0.3722403291822798	0.6621348039572817	0.3689644286101087	-0.42917657641615903
fad	fx	P70168	Kpnb1	0.04065673342556711	0.37247969465855224	0.6621348039572817	0.3689644286101087	0.42889739738040017
fad	fx	Q8BP47	Nars	-0.04731967088087911	0.3728387035981522	0.6621348039572817	0.3689644286101087	-0.42847901078523376
